Software Version,3.14.03,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\LABUSER\Desktop\Experiments\Kaizad P\2023-08-02_Fe_assay_anoxia_time0water__CMPS_KFP_tray2.xpt,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,8/2/23,,,,,,,,,,,,
Time,3:37:01 PM,,,,,,,,,,,,
Reader Type:,Synergy H1,,,,,,,,,,,,
Reader Serial Number:,1709086,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE (Use plate lid),,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,
,Pathlength Correction: 977 / 900,,,,,,,,,,,,
,    Absorbance at 1 cm: 0.18,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,23.2,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.152,0.147,0.149,0.15,0.149,0.148,0.148,0.148,0.15,0.147,0.146,0.145,977 [Test]
,0.091,0.089,0.087,0.089,0.088,0.088,0.087,0.088,0.09,0.084,0.086,0.086,900 [Ref]
,0.341,0.322,0.344,0.34,0.337,0.334,0.337,0.336,0.331,0.347,0.333,0.328,Pathlength
,2.334,2.311,0.097,0.096,0.092,0.092,0.09,0.096,0.108,0.095,0.096,0.099,562
,6.854,7.185,0.281,0.283,0.274,0.275,0.268,0.284,0.325,0.274,0.288,0.301,Corrected [562]
B,0.147,0.15,0.15,0.151,0.15,0.15,0.191,0.156,0.083,0.083,0.083,0.083,977 [Test]
,0.087,0.09,0.089,0.088,0.088,0.088,0.127,0.094,0.083,0.083,0.083,0.083,900 [Ref]
,0.334,0.332,0.338,0.35,0.345,0.342,0.354,0.344,0.003,-0.003,0,0.002,Pathlength
,1.334,1.397,0.115,0.125,0.119,0.12,0.156,0.101,0.09,0.089,0.089,0.089,562
,3.996,4.211,0.342,0.358,0.346,0.352,0.44,0.294,26.88,-26.76,?????,53.58,Corrected [562]
C,0.151,0.154,0.084,0.087,0.082,0.085,0.087,0.078,0.083,0.082,0.083,0.083,977 [Test]
,0.091,0.095,0.084,0.086,0.085,0.084,0.089,0.079,0.08,0.08,0.083,0.083,900 [Ref]
,0.335,0.331,-0.001,0.005,-0.013,0.003,-0.007,-0.003,0.013,0.009,0.001,0.001,Pathlength
,0.664,0.683,0.091,0.095,0.095,0.097,0.102,0.088,0.09,0.09,0.09,0.09,562
,1.983,2.063,-163.26,18.9,-7.411,34.776,-15.36,-26.46,6.742,9.487,162.36,161.64,Corrected [562]
D,0.16,0.159,0.157,0.163,0.15,0.157,0.146,0.149,0.149,0.151,0.15,0.15,977 [Test]
,0.1,0.098,0.096,0.102,0.089,0.103,0.086,0.088,0.088,0.09,0.089,0.089,900 [Ref]
,0.336,0.341,0.338,0.342,0.34,0.298,0.333,0.343,0.34,0.339,0.339,0.338,Pathlength
,0.375,0.37,2.976,3.144,3.061,3.052,3.031,1.685,1.655,1.952,1.801,1.68,562
,1.118,1.087,8.81,9.187,9.004,10.25,9.094,4.908,4.868,5.761,5.316,4.974,Corrected [562]
E,0.155,0.156,0.152,0.155,0.15,0.15,0.15,0.154,0.082,0.083,0.083,0.082,977 [Test]
,0.094,0.094,0.091,0.094,0.099,0.089,0.087,0.09,0.083,0.083,0.083,0.083,900 [Ref]
,0.339,0.347,0.341,0.341,0.282,0.338,0.346,0.357,-0.004,-0.003,-0.002,-0.002,Pathlength
,0.212,0.208,3.765,3.807,3.864,3.849,3.96,0.089,0.089,0.089,0.089,0.09,562
,0.626,0.599,11.056,11.18,13.719,11.377,11.442,0.248,-20.115,-32.148,-53.58,-54,Corrected [562]
F,0.15,0.151,0.085,0.084,0.08,0.082,0.081,0.079,0.082,0.084,0.083,0.082,977 [Test]
,0.088,0.089,0.085,0.083,0.079,0.081,0.08,0.079,0.081,0.084,0.084,0.083,900 [Ref]
,0.344,0.339,-0.003,0.004,0.005,0.005,0.007,-0.001,0.008,-0.004,-0.006,-0.004,Pathlength
,0.146,0.143,0.094,0.092,0.09,0.09,0.09,0.089,0.09,0.089,0.09,0.09,562
,0.425,0.42,-33.804,20.723,18.06,17.96,13.575,-160.38,10.8,-20.138,-16.128,-20.228,Corrected [562]
G,0.153,0.149,0.081,0.084,0.081,0.082,0.082,0.081,0.083,0.083,0.08,0.081,977 [Test]
,0.09,0.089,0.084,0.083,0.08,0.082,0.081,0.08,0.081,0.083,0.081,0.081,900 [Ref]
,0.352,0.334,-0.017,0.007,0.007,0.001,0.002,0.006,0.009,-0.003,-0.004,0,Pathlength
,0.117,0.118,0.091,0.092,0.09,0.09,0.089,0.09,0.09,0.091,0.09,0.089,562
,0.333,0.353,-5.472,13.86,13.56,162,53.4,14.695,10.136,-32.724,-20.228,?????,Corrected [562]
H,0.141,0.15,0.085,0.08,0.08,0.079,0.083,0.082,0.082,0.086,0.08,0.08,977 [Test]
,0.09,0.091,0.087,0.082,0.082,0.079,0.084,0.082,0.082,0.086,0.081,0.08,900 [Ref]
,0.287,0.325,-0.012,-0.012,-0.012,-0.003,-0.004,-0.005,0.003,-0.005,-0.008,-0.001,Pathlength
,0.091,0.091,0.093,0.089,0.091,0.09,0.09,0.088,0.089,0.093,0.088,0.09,562
,0.319,0.279,-7.937,-7.671,-7.413,-26.91,-20.25,-17.64,26.7,-18.56,-11.353,-162.9,Corrected [562]