Sample ID,Disk ID,Location on Roller,day,Time on Roller,file folder,Notes,,,
35,4038,1,7/12/23,12:18,,Last 12 points had to be started manually ,,,
33,4129,3,7/12/23,12:18,,,,,
32,4115,5,7/12/23,12:19,,,,,
34,4148,7,7/12/23,12:19,,,,,
31,4116,9,7/12/23,12:19,,,,,
40,4080,11,7/12/23,12:20,,,,,
38,4128,13,7/12/23,12:20,,,,,
37,4147,16,7/12/23,12:21,,,,,
36,4137,18,7/12/23,12:22,,,,,
39,4039,20,7/12/23,12:23,,,,,
44,4069,21,7/12/23,12:24,,,,,
45,4119,23,7/12/23,12:25,,,,,
43,4122,25,7/12/23,12:26,,,,,
42,4127,27,7/12/23,12:27,,,,,
41,4092,29,7/12/23,12:28,,,,,
blank,4013,14,7/12/23,12:28,KP23_071223,1st image for all -  measure first hour every 3 minutes,,,
,,,7/12/23,13:27,,end of 1st hour --- computer crashed and took only 14 images,,,
,,,7/12/23,13:27,KP23_071223b,record every 15 minutes for 23 hours,,,
,,,7/13/23,10:25,KP23_071223c,computer crashed too 7 images record every 15 minutes for 23 hours,,,
,,,7/13/23,15:39,KP23_071223d,rebooted computer --- start record every 12 hours for 13 days,,,